,brand,price,processor,CPU,Ram,ROM,GPU,display_size,OS,warranty
0,0,49900,87.0,19,8,512,1.0,15.6,0,1
1,0,39900,28.0,18,8,512,2.0,15.6,0,1
2,1,26990,14.0,17,8,512,3.0,14.0,0,1
3,2,59729,32.0,6,16,512,4.0,14.0,0,1
4,3,69990,138.0,21,8,256,5.0,13.3,1,1
5,1,39990,32.0,6,8,512,3.0,14.0,0,1
6,4,36790,28.0,18,8,512,2.0,15.6,0,1
7,1,76990,49.0,22,16,512,6.0,15.6,0,1
8,5,48990,34.0,6,8,512,7.0,15.6,0,1
9,6,74990,32.0,6,16,512,3.0,13.3,0,1
10,2,49990,36.0,1,16,512,8.0,15.6,0,1
11,7,10990,149.0,16,4,128,9.0,14.1,0,1
12,5,72990,34.0,6,16,512,10.0,15.6,0,1
13,8,10990,159.0,20,4,64,11.0,11.6,2,1
14,2,29990,105.0,28,8,512,12.0,15.6,0,1
15,5,53649,,19,8,512,13.0,15.6,0,1
16,9,33990,14.0,17,8,512,8.0,14.0,0,1
17,10,79990,61.0,8,32,1000,4.0,15.6,0,1
18,0,68990,33.0,22,16,512,10.0,15.6,0,1
19,2,45990,18.0,28,8,512,14.0,15.6,0,1
20,5,49900,87.0,19,8,512,15.0,16.0,0,1
21,3,104990,142.0,21,8,256,16.0,13.6,1,1
22,1,54990,33.0,22,16,512,13.0,15.6,0,1
23,0,49580,,28,16,512,3.0,15.6,0,1
24,5,55990,92.0,24,16,512,15.0,16.0,0,1
25,0,43990,86.0,19,16,512,17.0,15.6,0,1
26,0,19850,68.0,16,4,256,18.0,15.6,3,1
27,1,28990,154.0,25,8,512,8.0,15.6,0,1
28,1,54999,32.0,6,16,512,13.0,15.6,0,1
29,4,70990,53.0,1,16,512,2.0,15.6,0,1
30,2,56889,99.0,19,8,512,10.0,15.6,0,1
31,1,179880,62.0,14,16,1000,19.0,16.0,0,1
32,0,53790,87.0,19,16,512,20.0,15.6,0,1
33,1,37990,86.0,19,16,512,21.0,15.6,0,1
34,1,96990,38.0,2,16,1000,22.0,15.6,0,1
35,0,71990,47.0,6,16,512,23.0,15.6,0,1
36,0,59990,,19,16,512,14.0,16.1,0,1
37,2,62990,33.0,22,16,1000,24.0,14.0,0,1
38,10,30990,28.0,18,8,512,4.0,14.0,0,1
39,2,74990,33.0,22,16,512,25.0,15.6,0,1
40,0,36490,14.0,17,8,512,2.0,15.6,0,1
41,4,77990,34.0,6,16,1000,10.0,15.6,0,1
42,6,54990,,1,16,512,8.0,15.6,0,1
43,2,41190,28.0,18,8,256,,15.6,0,1
44,5,89990,50.0,2,16,512,25.0,16.0,0,1
45,2,399999,64.0,14,32,1000,26.0,16.0,0,1
46,11,31990,20.0,28,8,512,24.0,15.6,0,1
47,4,31490,78.0,28,8,512,27.0,15.6,0,1
48,0,70590,33.0,22,16,512,10.0,15.6,0,1
49,5,104990,40.0,8,16,512,28.0,15.6,0,1
50,2,23990,149.0,16,8,256,29.0,15.6,0,1
51,0,37999,89.0,19,8,512,12.0,15.6,0,1
52,12,52990,33.0,22,16,512,2.0,14.0,0,1
53,2,30849,78.0,28,8,512,12.0,15.6,0,1
54,0,58990,33.0,22,8,512,14.0,15.6,0,1
55,13,34990,22.0,28,16,512,8.0,15.6,0,1
56,2,49990,113.0,24,16,512,17.0,16.0,0,1
57,0,51780,31.0,1,8,512,3.0,15.6,0,1
58,5,68990,24.0,24,16,512,30.0,15.6,0,1
59,5,85990,,9,16,1000,10.0,15.6,0,1
60,2,96990,56.0,2,16,512,6.0,15.6,0,1
61,2,148990,61.0,8,32,1000,28.0,16.0,0,1
62,5,72990,34.0,6,16,512,10.0,17.3,0,1
63,4,84490,54.0,6,16,1000,3.0,14.0,0,1
64,5,60990,38.0,2,16,512,7.0,15.6,0,1
65,10,33990,22.0,28,16,512,4.0,14.0,0,1
66,5,35990,14.0,17,16,512,31.0,14.0,0,1
67,1,60990,33.0,22,16,512,32.0,15.6,0,1
68,14,43990,34.0,6,16,512,3.0,14.0,0,1
69,5,62990,33.0,22,16,512,13.0,16.0,0,1
70,9,65990,24.0,24,16,1000,10.0,15.6,0,1
71,10,23990,12.0,27,8,512,8.0,15.6,0,1
72,5,61990,,19,16,512,10.0,15.6,0,1
73,4,36990,79.0,28,8,512,27.0,15.6,0,1
74,5,50970,87.0,19,16,512,33.0,16.0,0,1
75,4,184999,10.0,19,16,512,,15.6,4,0
76,0,109990,117.0,24,16,1000,6.0,16.1,0,1
77,13,42990,31.0,1,16,512,35.0,15.6,0,1
78,0,39150,28.0,18,8,512,8.0,15.6,0,1
79,1,92999,51.0,6,16,512,4.0,14.0,0,1
80,0,80990,117.0,24,16,512,25.0,16.1,0,1
81,0,55850,110.0,19,8,512,13.0,15.6,0,1
82,1,38990,20.0,28,8,512,,15.6,0,1
83,9,53990,17.0,19,16,1000,37.0,15.6,0,1
84,10,38990,31.0,1,16,512,4.0,14.0,0,1
85,0,139234,117.0,24,16,1000,28.0,16.0,0,1
86,9,57990,17.0,19,16,1000,10.0,15.6,0,1
87,2,89999,49.0,22,8,512,28.0,15.6,0,1
88,1,37990,16.0,28,16,512,3.0,14.0,0,1
89,5,30990,14.0,17,8,512,31.0,14.0,0,1
90,4,92990,50.0,2,16,512,25.0,15.6,0,1
91,0,42990,28.0,18,8,512,2.0,15.6,0,1
92,5,59089,,19,16,512,13.0,15.6,0,1
93,0,72999,33.0,22,16,512,10.0,15.6,0,1
94,0,126742,100.0,24,16,1000,,16.1,0,1
95,3,126990,142.0,21,8,256,38.0,15.3,1,1
96,6,49990,31.0,1,8,512,8.0,15.6,0,1
97,4,74390,32.0,6,16,512,8.0,14.0,0,1
98,4,52990,31.0,1,8,512,2.0,15.6,0,1
