,brand,price,CPU,Ram,ROM,display_size,OS,warranty,GPU_encoded,Processor_encoded
0,0,49900,19,8,512,15.6,0,1,0,0
1,0,39900,18,8,512,15.6,0,1,1,1
2,1,26990,17,8,512,14.0,0,1,2,2
3,2,59729,6,16,512,14.0,0,1,3,3
4,3,69990,21,8,256,13.3,1,1,4,4
5,1,39990,6,8,512,14.0,0,1,2,3
6,4,36790,18,8,512,15.6,0,1,1,1
7,1,76990,22,16,512,15.6,0,1,5,5
8,5,48990,6,8,512,15.6,0,1,6,6
9,6,74990,6,16,512,13.3,0,1,2,3
10,2,49990,1,16,512,15.6,0,1,7,7
11,7,10990,16,4,128,14.1,0,1,8,8
12,5,72990,6,16,512,15.6,0,1,9,6
13,8,10990,20,4,64,11.6,2,1,10,9
14,2,29990,28,8,512,15.6,0,1,11,10
15,5,53649,19,8,512,15.6,0,1,12,11
16,9,33990,17,8,512,14.0,0,1,7,2
17,10,79990,8,32,1000,15.6,0,1,3,12
18,0,68990,22,16,512,15.6,0,1,9,13
19,2,45990,28,8,512,15.6,0,1,13,14
20,5,49900,19,8,512,16.0,0,1,14,0
21,3,104990,21,8,256,13.6,1,1,15,15
22,1,54990,22,16,512,15.6,0,1,12,13
23,0,49580,28,16,512,15.6,0,1,2,16
24,5,55990,24,16,512,16.0,0,1,14,17
25,0,43990,19,16,512,15.6,0,1,16,18
26,0,19850,16,4,256,15.6,3,1,17,19
27,1,28990,25,8,512,15.6,0,1,7,20
28,1,54999,6,16,512,15.6,0,1,12,3
29,4,70990,1,16,512,15.6,0,1,1,21
30,2,56889,19,8,512,15.6,0,1,9,22
31,1,179880,14,16,1000,16.0,0,1,18,23
32,0,53790,19,16,512,15.6,0,1,19,0
33,1,37990,19,16,512,15.6,0,1,20,18
34,1,96990,2,16,1000,15.6,0,1,21,24
35,0,71990,6,16,512,15.6,0,1,22,25
36,0,59990,19,16,512,16.1,0,1,13,11
37,2,62990,22,16,1000,14.0,0,1,23,13
38,10,30990,18,8,512,14.0,0,1,3,1
39,2,74990,22,16,512,15.6,0,1,24,13
40,0,36490,17,8,512,15.6,0,1,1,2
41,4,77990,6,16,1000,15.6,0,1,9,6
42,6,54990,1,16,512,15.6,0,1,7,26
43,2,41190,18,8,256,15.6,0,1,25,1
44,5,89990,2,16,512,16.0,0,1,24,27
45,2,399999,14,32,1000,16.0,0,1,26,28
46,11,31990,28,8,512,15.6,0,1,23,29
47,4,31490,28,8,512,15.6,0,1,27,30
48,0,70590,22,16,512,15.6,0,1,9,13
49,5,104990,8,16,512,15.6,0,1,28,31
50,2,23990,16,8,256,15.6,0,1,29,8
51,0,37999,19,8,512,15.6,0,1,11,32
52,12,52990,22,16,512,14.0,0,1,1,13
53,2,30849,28,8,512,15.6,0,1,11,30
54,0,58990,22,8,512,15.6,0,1,13,13
55,13,34990,28,16,512,15.6,0,1,7,33
56,2,49990,24,16,512,16.0,0,1,16,34
57,0,51780,1,8,512,15.6,0,1,2,35
58,5,68990,24,16,512,15.6,0,1,30,36
59,5,85990,9,16,1000,15.6,0,1,9,37
60,2,96990,2,16,512,15.6,0,1,5,38
61,2,148990,8,32,1000,16.0,0,1,28,12
62,5,72990,6,16,512,17.3,0,1,9,6
63,4,84490,6,16,1000,14.0,0,1,2,39
64,5,60990,2,16,512,15.6,0,1,6,24
65,10,33990,28,16,512,14.0,0,1,3,33
66,5,35990,17,16,512,14.0,0,1,31,2
67,1,60990,22,16,512,15.6,0,1,32,13
68,14,43990,6,16,512,14.0,0,1,2,6
69,5,62990,22,16,512,16.0,0,1,12,13
70,9,65990,24,16,1000,15.6,0,1,9,36
71,10,23990,27,8,512,15.6,0,1,7,40
72,5,61990,19,16,512,15.6,0,1,9,11
73,4,36990,28,8,512,15.6,0,1,27,41
74,5,50970,19,16,512,16.0,0,1,33,0
75,4,184999,19,16,512,15.6,4,0,34,42
76,0,109990,24,16,1000,16.1,0,1,5,43
77,13,42990,1,16,512,15.6,0,1,35,35
78,0,39150,18,8,512,15.6,0,1,7,1
79,1,92999,6,16,512,14.0,0,1,3,44
80,0,80990,24,16,512,16.1,0,1,24,43
81,0,55850,19,8,512,15.6,0,1,12,45
82,1,38990,28,8,512,15.6,0,1,36,29
83,9,53990,19,16,1000,15.6,0,1,37,46
84,10,38990,1,16,512,14.0,0,1,3,35
85,0,139234,24,16,1000,16.0,0,1,28,43
86,9,57990,19,16,1000,15.6,0,1,9,46
87,2,89999,22,8,512,15.6,0,1,28,5
88,1,37990,28,16,512,14.0,0,1,2,47
89,5,30990,17,8,512,14.0,0,1,31,2
90,4,92990,2,16,512,15.6,0,1,24,27
91,0,42990,18,8,512,15.6,0,1,1,1
92,5,59089,19,16,512,15.6,0,1,12,11
93,0,72999,22,16,512,15.6,0,1,9,13
94,0,126742,24,16,1000,16.1,0,1,38,48
95,3,126990,21,8,256,15.3,1,1,39,15
96,6,49990,1,8,512,15.6,0,1,7,35
97,4,74390,6,16,512,14.0,0,1,7,3
98,4,52990,1,8,512,15.6,0,1,1,35
99,2,60990,28,8,512,15.6,0,1,40,14
100,0,98174,24,16,512,16.1,0,1,41,48
101,2,18990,16,8,256,14.0,0,1,11,49
102,5,38990,28,8,512,15.6,0,1,3,29
103,0,41950,19,8,512,14.0,0,1,16,50
104,14,46990,28,16,512,15.6,5,1,2,51
105,15,9999,26,2,32,11.6,4,1,42,52
106,5,40990,1,8,512,15.6,0,1,1,53
107,2,74990,24,8,512,15.6,0,1,9,54
108,13,33990,18,8,512,15.6,0,1,35,1
109,13,39990,1,8,512,15.6,0,1,35,35
110,5,10990,16,4,32,11.6,6,1,43,8
111,9,88990,6,32,1000,15.6,0,2,24,44
112,0,54990,1,8,512,15.6,0,1,7,35
113,2,49990,24,8,512,15.6,0,1,16,34
114,5,80739,8,16,512,16.0,0,1,44,12
115,2,62990,1,16,512,15.6,0,1,3,7
116,0,62990,22,8,512,15.6,0,1,12,13
117,0,69501,19,16,512,15.6,0,1,12,55
118,2,59990,22,16,512,14.0,0,1,1,13
119,0,54990,19,8,512,15.6,0,1,12,55
120,2,64990,22,16,512,15.6,0,1,12,13
121,9,37729,18,16,512,15.6,0,1,3,1
122,2,50712,19,16,512,15.6,0,1,13,56
123,9,44990,28,16,512,14.0,0,1,3,33
124,16,23990,17,8,512,14.0,0,1,1,57
125,0,49990,24,16,512,15.6,0,1,45,58
126,0,72990,6,16,512,15.6,0,1,46,59
127,2,52101,28,16,512,15.6,0,1,44,60
128,10,28990,17,8,512,14.0,0,1,8,61
129,0,69490,1,16,512,15.6,0,1,6,7
130,1,39965,18,8,512,15.6,0,1,1,62
131,1,54990,1,16,512,14.0,0,1,12,63
132,5,46999,1,8,512,15.6,0,1,6,35
133,5,83990,6,16,512,15.6,0,1,3,44
134,0,51499,19,8,512,15.6,0,1,19,64
135,4,50990,19,16,512,14.0,0,1,11,32
136,0,23990,16,4,128,15.6,6,1,8,65
137,1,27990,28,8,512,15.6,0,1,47,10
138,0,79990,1,16,1000,14.0,0,1,3,63
139,6,84390,1,16,512,15.6,0,1,2,21
140,10,24990,17,8,256,15.6,0,1,7,57
141,6,281990,8,32,1000,16.0,0,1,48,12
142,2,26590,16,8,512,15.6,0,1,49,66
143,10,37990,28,16,1000,14.0,0,1,3,33
144,5,71189,24,16,512,15.6,0,1,9,54
145,0,85999,24,16,512,16.1,0,1,24,43
146,2,93990,24,16,1000,14.0,0,1,11,67
147,5,84990,6,16,512,14.0,0,1,2,6
148,4,44190,15,8,1000,15.6,0,1,7,68
149,1,159990,14,16,1000,16.0,0,1,28,23
150,0,52990,19,16,512,15.6,0,1,19,0
151,1,39990,28,8,512,15.6,0,1,2,33
152,4,73990,1,16,1000,14.0,0,1,2,63
153,2,57500,28,16,512,15.6,0,1,50,69
154,5,59990,19,8,512,15.6,0,1,12,70
155,1,53990,22,16,512,15.6,0,1,13,13
156,5,33990,17,8,512,14.0,0,1,31,2
157,4,75990,6,16,512,16.0,0,1,2,25
158,3,144990,21,8,512,15.3,1,1,39,15
159,5,60539,6,16,512,15.6,0,1,6,71
160,5,56990,24,16,512,15.6,7,1,51,72
161,0,75533,6,16,512,15.6,0,1,46,59
162,4,74990,2,8,512,15.6,0,1,24,27
163,5,94990,24,16,512,15.6,0,1,5,73
164,5,179990,14,16,1000,16.0,0,1,28,28
165,5,77990,22,16,512,16.0,0,1,9,13
166,0,37990,18,8,512,15.6,0,1,1,1
167,0,62990,1,16,512,15.6,0,1,22,63
168,1,129999,10,16,1000,16.0,0,1,28,74
169,0,52990,19,8,512,15.6,0,1,11,32
170,1,104990,10,16,512,16.0,0,1,5,74
171,17,47999,28,8,512,14.0,0,1,2,69
172,1,114499,10,16,1000,16.0,0,1,5,74
173,0,49990,18,8,512,15.6,0,1,1,1
174,5,39990,18,8,512,15.6,0,1,6,1
